callsign,landingTime,ifdelayed,eventTime1,eventTime2,utcTime,localTime,aircraftModel,aircraftModel2,fleetID,owner,airlineName,airportOriginName,airportOriginCode1,airportOriginCode2,airportOriginLat,airportOriginLng,airportOriginCountry,airportOriginOffset,airportDestName,airportDestCode1,airportDestCode2,airportDestLat,airportDestLng,airportDestCountry,airportDestOffset,timeScheduleDeparture,timeScheduleArrival,timeRealDeparture,timeRealArrival,duration,id,airportOriginCity,airportDestCity,realDepartTime,realDepartTime_local,realArriveTime,realArriveTime_local,from_to,from_to_2,route,flightTime
CAL501,Landed 10:36,green,1546310202,1546339002,2019/1/1 2:36,2019/1/1 10:36,B77W,Boeing 777-309(ER),B-18003,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,1546303800,1546311000,1546305698,1546310202,4500,3,Taipei,Shanghai,2019/1/1 1:21,2019/1/1 9:21,2019/1/1 2:36,2019/1/1 10:36,Taiwan_China,Taipei_Shanghai,Taiwan_China,1.3
CAL502,Landed 14:30,green,1546324226,1546353026,2019/1/1 6:30,2019/1/1 14:30,B77W,Boeing 777-309(ER),B-18003,China Airlines,China Airlines,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546315500,1546323300,1546318704,1546324226,5520,3,Shanghai,Taipei,2019/1/1 4:58,2019/1/1 12:58,2019/1/1 6:30,2019/1/1 14:30,China_Taiwan,Shanghai_Taipei,Taiwan_China,1.5
CAL501,Landed 10:25,green,1546655146,1546683946,2019/1/5 2:25,2019/1/5 10:25,B77W,Boeing 777-309(ER),B-18003,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,1546649400,1546656600,1546650714,1546655146,4440,3,Taipei,Shanghai,2019/1/5 1:11,2019/1/5 9:11,2019/1/5 2:25,2019/1/5 10:25,Taiwan_China,Taipei_Shanghai,Taiwan_China,1.2
CAL502,Landed 13:38,green,1546666707,1546695507,2019/1/5 5:38,2019/1/5 13:38,B77W,Boeing 777-309(ER),B-18003,China Airlines,China Airlines,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546661100,1546668900,1546661436,1546666707,5280,3,Shanghai,Taipei,2019/1/5 4:10,2019/1/5 12:10,2019/1/5 5:38,2019/1/5 13:38,China_Taiwan,Shanghai_Taipei,Taiwan_China,1.5
CAL503,Landed 18:33,green,1546425181,1546453981,2019/1/2 10:33,2019/1/2 18:33,B77W,Boeing 777-309(ER),B-18005,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,1546418700,1546425300,1546420326,1546425181,4860,4,Taipei,Shanghai,2019/1/2 9:12,2019/1/2 17:12,2019/1/2 10:33,2019/1/2 18:33,Taiwan_China,Taipei_Shanghai,Taiwan_China,1.4
CAL504,Landed 22:00,green,1546437606,1546466406,2019/1/2 14:00,2019/1/2 22:00,B77W,Boeing 777-309(ER),B-18005,China Airlines,China Airlines,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546429800,1546437600,1546431049,1546437606,6540,4,Shanghai,Taipei,2019/1/2 12:10,2019/1/2 20:10,2019/1/2 14:00,2019/1/2 22:00,China_Taiwan,Shanghai_Taipei,Taiwan_China,1.8
CAL503,Landed 18:30,green,1546597823,1546626623,2019/1/4 10:30,2019/1/4 18:30,B77W,Boeing 777-309(ER),B-18005,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,1546591500,1546598100,1546593240,1546597823,4560,4,Taipei,Shanghai,2019/1/4 9:14,2019/1/4 17:14,2019/1/4 10:30,2019/1/4 18:30,Taiwan_China,Taipei_Shanghai,Taiwan_China,1.3
CAL504,Landed 22:14,green,1546611252,1546640052,2019/1/4 14:14,2019/1/4 22:14,B77W,Boeing 777-309(ER),B-18005,China Airlines,China Airlines,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546602600,1546610400,1546605420,1546611252,5820,4,Shanghai,Taipei,2019/1/4 12:37,2019/1/4 20:37,2019/1/4 14:14,2019/1/4 22:14,China_Taiwan,Shanghai_Taipei,Taiwan_China,1.6
CAL503,Landed 18:34,green,1546511684,1546540484,2019/1/3 10:34,2019/1/3 18:34,B77W,Boeing 777-309(ER),B-18006,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,1546505100,1546511700,1546506800,1546511684,4860,5,Taipei,Shanghai,2019/1/3 9:13,2019/1/3 17:13,2019/1/3 10:34,2019/1/3 18:34,Taiwan_China,Taipei_Shanghai,Taiwan_China,1.4
CAL504,Landed 21:37,green,1546522663,1546551463,2019/1/3 13:37,2019/1/3 21:37,B77W,Boeing 777-309(ER),B-18006,China Airlines,China Airlines,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546516200,1546524000,1546517574,1546522663,5100,5,Shanghai,Taipei,2019/1/3 12:12,2019/1/3 20:12,2019/1/3 13:37,2019/1/3 21:37,China_Taiwan,Shanghai_Taipei,Taiwan_China,1.4
